2000000.000000; 1.055366; -6.068389 
4000000.000000; 1.060942; -12.466987 
6000000.000000; 1.066860; -18.927059 
8000000.000000; 1.069120; -25.582728 
10000000.000000; 1.071088; -32.093553 
12000000.000000; 1.073044; -38.739086 
14000000.000000; 1.070865; -45.224683 
16000000.000000; 1.070164; -52.022257 
18000000.000000; 1.067662; -58.475759 
20000000.000000; 1.064619; -65.341927 
22000000.000000; 1.061317; -71.973228 
24000000.000000; 1.053999; -78.711624 
26000000.000000; 1.048409; -85.265687 
28000000.000000; 1.039591; -91.938604 
30000000.000000; 1.028726; -98.386379 
32000000.000000; 1.019904; -104.764984 
34000000.000000; 1.009160; -111.245616 
36000000.000000; 1.002747; -117.391467 
38000000.000000; 1.001424; -123.014778 
44000000.000000; 0.958385; -145.041084 
46000000.000000; 0.939112; -150.922294 
48000000.000000; 0.926669; -156.614094 
50000000.000000; 0.919212; -162.080366 
52000000.000000; 0.908681; -167.944458 
54000000.000000; 0.899447; -173.874495 
56000000.000000; 0.890533; -179.643724 
58000000.000000; 0.883805; 174.654295 
60000000.000000; 0.878378; 168.711734 
62000000.000000; 0.873362; 162.809448 
64000000.000000; 0.869957; 156.897053 
66000000.000000; 0.864510; 151.039305 
68000000.000000; 0.862628; 145.112817 
70000000.000000; 0.860179; 139.141618 
72000000.000000; 0.856597; 132.933454 
74000000.000000; 0.855153; 127.007340 
76000000.000000; 0.852768; 120.886671 
78000000.000000; 0.849311; 114.615774 
80000000.000000; 0.849016; 108.620639 
82000000.000000; 0.845558; 102.184787 
84000000.000000; 0.839560; 95.996395 
86000000.000000; 0.836689; 89.793378 
88000000.000000; 0.832224; 83.185245 
90000000.000000; 0.826097; 76.880511 
92000000.000000; 0.819169; 70.654410 
94000000.000000; 0.812658; 64.347880 
96000000.000000; 0.804707; 57.697188 
98000000.000000; 0.796548; 51.643649 
100000000.000000; 0.787709; 44.932584 
102000000.000000; 0.779303; 38.406679 
104000000.000000; 0.766608; 32.459773 
106000000.000000; 0.753597; 26.511999 
108000000.000000; 0.744178; 20.166616 
110000000.000000; 0.735407; 13.897105 
112000000.000000; 0.718815; 7.745020 
114000000.000000; 0.708902; 2.011010 
116000000.000000; 0.694458; -4.316545 
118000000.000000; 0.683783; -10.071872 
120000000.000000; 0.669899; -15.580627 
122000000.000000; 0.657922; -21.810984 
124000000.000000; 0.647344; -27.585823 
126000000.000000; 0.633967; -32.297803 
128000000.000000; 0.625008; -38.198140 
130000000.000000; 0.619836; -43.556931 
132000000.000000; 0.610742; -49.959200 
134000000.000000; 0.603530; -54.537441 
136000000.000000; 0.591218; -59.578398 
138000000.000000; 0.588597; -65.092476 
140000000.000000; 0.582367; -71.013919 
144000000.000000; 0.570244; -81.916625 
146000000.000000; 0.566899; -87.096027 
148000000.000000; 0.560501; -92.152129 
150000000.000000; 0.558865; -97.427776 
152000000.000000; 0.555037; -103.710195 
154000000.000000; 0.551713; -108.726776 
156000000.000000; 0.549615; -114.471718 
158000000.000000; 0.546377; -119.164307 
160000000.000000; 0.543686; -125.601804 
162000000.000000; 0.542111; -131.352677 
164000000.000000; 0.536765; -136.931055 
166000000.000000; 0.531745; -141.815266 
168000000.000000; 0.532570; -147.535146 
170000000.000000; 0.526308; -153.298354 
172000000.000000; 0.524411; -158.646266 
174000000.000000; 0.521606; -164.378611 
176000000.000000; 0.518242; -170.238287 
178000000.000000; 0.515218; -175.552055 
180000000.000000; 0.507226; 179.095502 
182000000.000000; 0.504227; 173.108761 
184000000.000000; 0.501380; 167.653849 
186000000.000000; 0.494943; 161.632724 
188000000.000000; 0.489076; 156.792393 
190000000.000000; 0.482334; 150.178546 
192000000.000000; 0.478388; 144.653412 
194000000.000000; 0.473233; 139.626737 
196000000.000000; 0.465240; 134.948138 
198000000.000000; 0.456746; 129.359343 
200000000.000000; 0.451893; 125.507677 
